,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
746,IN,VA,2787636
747,TN,AZ,2776522
748,OR,ID,2775300
749,ME,PA,2775125
750,PA,ME,2774505
751,NM,IL,2716377
752,MA,WA,2689957
753,SC,MI,2688137
754,IN,KY,2677430
755,WA,MA,2671859
756,MI,SC,2664060
757,NV,MA,2658573
758,MA,NV,2631648
759,SC,PA,2617923
760,IL,NM,2608949
761,KY,IN,2597006
762,MA,KY,2583990
763,PA,SC,2580351
764,MI,CT,2549045
765,RI,GA,2540575
766,CT,TX,2531058
767,MO,MA,2521259
768,GA,RI,2514011
769,MA,MO,2489641
770,TX,CT,2481630
771,CT,MI,2479853
772,VA,MD,2459086
773,KY,MA,2445856
774,MI,UT,2445101
775,IL,AL,2425050
776,MD,VA,2422185
777,UT,MI,2420873
778,AL,IL,2366372
779,GA,NM,2365757
780,AL,TN,2350510
781,IN,MO,2341341
782,TN,AL,2339751
783,NM,GA,2333183
784,VI,VI,2328238
785,HI,GA,2323106
786,GA,HI,2307845
787,GA,KS,2303879
788,NE,GA,2300775
789,GA,NE,2292157
790,AZ,KY,2289618
791,CO,KS,2280794
792,KS,GA,2280327
793,KS,CO,2274475
794,NE,MO,2265496
795,MO,NE,2258680
796,MO,IN,2250913
797,WI,KY,2241566
798,KY,AZ,2233236
799,KY,WI,2221977
800,ID,NV,2192906
801,NY,IN,2190633
802,WI,CA,2187728
803,IN,NY,2171643
804,WI,WI,2168552
805,CA,WI,2158463
806,IL,KS,2157633
807,PR,NC,2144991
808,OK,NV,2139095
809,NC,PR,2127962
810,WI,VA,2120340
811,KS,IL,2119287
812,NV,ID,2100359
813,VA,WI,2096205
814,OH,OH,2095327
815,SC,FL,2089289
816,NV,OK,2088369
817,FL,SC,2068465
818,CO,HI,2051136
819,NE,NV,2021583
820,WY,UT,2020739
821,UT,WY,2015285
822,HI,CO,2011576
823,NV,NE,2005935
824,RI,MI,1981487
825,AR,TN,1974494
826,UT,VA,1968100
827,TT,HI,1965473
828,PA,WI,1965310
829,WA,NC,1961479
830,VA,UT,1959270
831,ME,VA,1955066
832,MI,RI,1944570
833,VA,ME,1940660
834,TN,AR,1938175
835,WI,PA,1925940
836,NC,WA,1917288
837,UT,HI,1914976
838,CT,MN,1912831
839,LA,NJ,1909345
840,NJ,LA,1906428
841,MN,CT,1897342
842,PR,PR,1886938
843,LA,PA,1880838
844,PA,LA,1872290
845,AR,MO,1872146
846,AZ,ID,1869903
847,CA,IN,1864968
848,MS,TN,1864404
849,UT,MA,1851722
850,KY,SC,1850508
851,MA,UT,1845152
852,HI,TT,1842389
853,TN,MS,1838699
854,HI,UT,1815739
855,MO,AR,1815375
856,SC,KY,1804252
857,ID,AZ,1804185
858,IN,CA,1800102
859,UT,MD,1774396
860,NH,MI,1770067
861,MD,UT,1766663
862,OH,WI,1761814
863,WI,OH,1747367
864,MI,NH,1740949
865,MO,LA,1734698
866,LA,MO,1728111
867,WI,MA,1706307
868,MA,WI,1695171
869,MN,HI,1684666
870,VT,PA,1679963
871,UT,UT,1654666
872,PA,VT,1647565
873,VA,VT,1632579
874,CT,KY,1632025
875,ID,MN,1630591
876,MN,ID,1610195
877,VT,VA,1607019
878,LA,NV,1602669
879,VI,GA,1602520
880,MO,NM,1599938
881,NM,MO,1591811
882,GA,VI,1589513
883,MD,IN,1584582
884,ME,GA,1582379
885,MD,LA,1580711
886,AK,OR,1572576
887,IN,MD,1571905
888,KY,AL,1570896
889,NJ,IN,1567194
890,GA,ME,1561325
891,LA,MD,1552126
892,LA,MI,1548565
893,UT,NJ,1546836
894,MI,IA,1544997
895,KY,CT,1543909
896,GA,IA,1540884
897,NJ,UT,1536307
898,IA,GA,1533455
899,IA,MI,1532896
900,IN,NJ,1523731
901,NV,LA,1523153
902,PR,VA,1518386
903,MI,LA,1517482
904,OR,AK,1516498
905,HI,MN,1510439
906,UT,NM,1500334
907,IL,SD,1498783
908,NM,UT,1491198
909,AK,IL,1489504
910,AL,KY,1487419
911,SD,IL,1482206
912,NH,VA,1481023
913,TN,MA,1465676
914,VA,PR,1464522
915,UT,PA,1458071
916,MA,TN,1457035
917,PA,UT,1455453
918,ME,MI,1443187
919,MS,FL,1442160
920,KY,WA,1437969
921,AR,NC,1437563
922,AL,MD,1433197
923,MI,ME,1431121
